Date,Open,High,Low,Close,Volume,Currency
2021-10-10,3574.52,3599.18,3409.22,3415.03,767490,USD
2021-10-11,3414.93,3622.53,3381.43,3545.06,683236,USD
2021-10-12,3541.49,3545.35,3404.49,3489.9,609886,USD
2021-10-13,3491.08,3612.04,3416.0,3607.28,557184,USD
2021-10-14,3607.36,3820.47,3588.24,3790.41,697087,USD
2021-10-15,3790.34,3904.91,3735.21,3866.9,721143,USD
2021-10-16,3869.05,3967.43,3804.55,3827.55,527606,USD
2021-10-17,3827.55,3917.56,3664.63,3845.47,543522,USD
2021-10-18,3848.64,3892.01,3685.82,3747.6,578206,USD
2021-10-19,3745.46,3884.34,3733.78,3876.78,488600,USD
2021-10-20,3876.76,4168.12,3830.26,4159.89,752028,USD
2021-10-21,4160.51,4366.91,4029.48,4054.16,1140074,USD
2021-10-22,4053.89,4164.11,3896.4,3970.94,654771,USD
2021-10-23,3970.94,4169.33,3938.79,4168.85,487025,USD
2021-10-24,4168.8,4184.0,3965.84,4082.8,507629,USD
2021-10-25,4082.68,4234.76,4069.94,4219.92,481414,USD
2021-10-26,4219.92,4291.98,4098.19,4129.51,559294,USD
2021-10-27,4130.06,4299.61,3914.06,3921.93,1068620,USD
2021-10-28,3921.54,4289.8,3896.33,4284.9,865802,USD
2021-10-29,4284.9,4458.3,4268.21,4413.7,781573,USD
2021-10-30,4413.7,4428.41,4250.24,4320.65,494872,USD
2021-10-31,4322.0,4393.61,4169.48,4287.56,555323,USD
2021-11-01,4287.41,4376.94,4157.51,4320.85,574256,USD
2021-11-02,4320.85,4598.38,4287.36,4586.06,630259,USD
2021-11-03,4586.96,4661.88,4458.87,4602.21,634683,USD
2021-11-04,4601.93,4604.83,4421.87,4535.11,495859,USD
2021-11-05,4534.96,4569.31,4439.67,4475.0,409754,USD
2021-11-06,4475.0,4526.75,4330.29,4517.36,442598,USD
2021-11-07,4517.27,4634.39,4502.7,4612.06,337809,USD
